section,avg_ms,flynn_class,serial_or_parallel
fork_join_dispatch,10.3539,MIMD,parallel
neighbor_find,3.6586,SIMD,parallel
integration,1.1544,SIMD,parallel
coverage_grid,0.8668,SIMD,parallel
serial_overhead,0.3375,SISD,serial

metric,value
serial_fraction,0.034137
parallel_fraction,0.965863
amdahl_1_cores,1.0000
gustafson_1_cores,1.0000
amdahl_2_cores,1.9340
gustafson_2_cores,1.9659
amdahl_4_cores,3.6284
gustafson_4_cores,3.8976
amdahl_6_cores,5.1252
gustafson_6_cores,5.8293
amdahl_8_cores,6.4570
gustafson_8_cores,7.7610
amdahl_12_cores,8.7240
gustafson_12_cores,11.6245
amdahl_16_cores,10.5816
gustafson_16_cores,15.4879

performance_evaluation,value
avg_robustness_index,0.5801
