Time,Coverage,Active,Dead,Collisions,Robustness
2.4,9.83,100,0,0,2.023
3.4,11.1,100,0,0,1.614
4.6,12.21,100,0,0,1.339
5.6,13.89,100,0,0,1.249
6.6,15.44,100,0,0,1.172
7.6,17.27,100,0,0,1.136
8.6,19.58,100,0,0,1.133
9.8,21.54,100,0,0,1.103
10.8,23.77,100,0,0,1.098
11.9,25.9,100,0,0,1.087
13.0,27.97,100,0,0,1.075
14.1,30.09,100,0,0,1.069
15.2,32.31,100,0,0,1.061
16.3,34.37,100,0,0,1.057
17.3,36.16,100,0,0,1.044
18.4,38.21,100,0,0,1.037
19.5,40.0,100,0,0,1.024
20.5,41.43,100,0,0,1.009
21.6,42.94,100,0,0,0.992
22.7,44.24,100,0,0,0.975
23.8,45.87,100,0,0,0.964
24.9,47.25,100,0,0,0.947
26.1,48.63,100,0,0,0.933
27.2,49.95,100,0,0,0.92
28.2,51.28,100,0,0,0.908
29.4,52.29,100,0,0,0.89
30.5,53.89,100,0,0,0.884
31.6,55.08,100,0,0,0.872
32.6,55.91,100,0,0,0.857
33.7,56.98,100,0,0,0.846
34.8,58.29,100,0,0,0.837
35.9,59.27,100,0,0,0.824
36.9,60.2,100,0,0,0.815
38.0,61.03,100,0,0,0.803
39.0,61.86,100,0,0,0.793
40.0,62.56,100,0,0,0.781
41.2,63.46,100,0,0,0.771
42.3,64.4,100,0,0,0.762
43.4,65.2,100,0,0,0.752
44.5,65.77,100,0,0,0.739
45.6,66.54,100,0,0,0.73
46.8,67.74,100,0,0,0.723
47.9,68.7,100,0,0,0.716
49.0,69.45,100,0,0,0.709
50.0,70.19,100,0,0,0.702
51.1,70.98,100,0,0,0.695
52.1,71.74,100,0,0,0.689
53.1,72.26,100,0,0,0.68
54.1,73.03,100,0,0,0.675
55.2,74.08,100,0,0,0.671
56.2,74.63,100,0,0,0.663
57.3,75.07,100,0,0,0.655
58.3,75.6,100,0,0,0.648
59.6,76.46,100,0,0,0.641
61.0,77.6,100,0,0,0.636
62.3,78.56,100,0,0,0.63
63.7,79.56,100,0,0,0.625
65.1,80.39,100,0,0,0.618
66.4,81.24,100,0,0,0.611
67.8,82.21,100,0,0,0.606
69.2,82.89,100,0,0,0.599
70.6,83.53,100,0,0,0.591
72.0,84.2,100,0,0,0.585
73.3,84.54,100,0,0,0.577
74.7,85.01,100,0,0,0.569
76.2,85.54,100,0,0,0.562
77.5,86.14,100,0,0,0.555
79.0,86.52,100,0,0,0.548
80.4,86.83,100,0,0,0.54
81.7,87.16,100,0,0,0.533
83.1,87.45,100,0,0,0.526
84.5,87.85,100,0,0,0.52
86.0,88.14,100,0,0,0.512
87.5,88.36,100,0,0,0.505
89.0,88.69,100,0,0,0.498
90.4,89.03,100,0,0,0.493
91.7,89.41,100,0,0,0.487
93.1,89.78,100,0,0,0.482
94.4,90.12,100,0,0,0.477
95.8,90.51,100,0,0,0.472
97.1,90.83,100,0,0,0.468
98.6,91.27,100,0,0,0.463
99.9,91.59,100,0,0,0.458
101.3,92.04,100,0,0,0.454
102.7,92.38,100,0,0,0.45
104.0,92.67,100,0,0,0.445
105.3,92.94,100,0,0,0.441
106.8,93.16,100,0,0,0.436
108.2,93.38,100,0,0,0.432
109.5,93.59,100,0,0,0.427
110.9,93.78,100,0,0,0.423
112.3,94.01,100,0,0,0.419
113.6,94.23,100,0,0,0.415
115.0,94.5,100,0,0,0.411
116.4,94.68,100,0,0,0.407
117.7,94.9,100,0,0,0.403
119.1,95.03,100,0,0,0.399
120.5,95.15,100,0,0,0.395
121.8,95.29,100,0,0,0.391
123.2,95.43,100,0,0,0.387
124.5,95.52,100,0,0,0.383
125.9,95.6,100,0,0,0.38
127.3,95.65,100,0,0,0.376
128.7,95.72,100,0,0,0.372
130.1,95.77,100,0,0,0.368
131.4,95.86,100,0,0,0.365
132.8,95.93,100,0,0,0.361
134.2,96.03,100,0,0,0.358
135.6,96.16,100,0,0,0.355
137.0,96.29,100,0,0,0.351
138.4,96.38,100,0,0,0.348
139.7,96.51,100,0,0,0.345
141.1,96.59,100,0,0,0.342
142.5,96.71,100,0,0,0.339
143.9,96.76,100,0,0,0.336
145.3,96.78,100,0,0,0.333
146.7,96.84,100,0,0,0.33
148.1,96.93,100,0,0,0.327
149.5,97.01,100,0,0,0.324
150.9,97.06,100,0,0,0.322
152.3,97.09,100,0,0,0.319
153.7,97.13,100,0,0,0.316
155.2,97.17,100,0,0,0.313
156.6,97.21,100,0,0,0.31
157.9,97.28,100,0,0,0.308
159.3,97.32,100,0,0,0.305
160.9,97.34,100,0,0,0.302
162.4,97.41,100,0,0,0.3
163.9,97.5,100,0,0,0.297
165.3,97.55,100,0,0,0.295
166.7,97.59,100,0,0,0.293
168.1,97.63,100,0,0,0.29
169.6,97.67,100,0,0,0.288
171.0,97.74,100,0,0,0.286
172.4,97.77,100,0,0,0.284
174.0,97.85,100,0,0,0.281
175.6,97.86,100,0,0,0.279
177.0,97.88,100,0,0,0.276
178.4,97.9,100,0,0,0.274
179.8,97.91,100,0,0,0.272
181.2,97.96,100,0,0,0.27
182.6,97.99,100,0,0,0.268
184.0,98.01,100,0,0,0.266
185.4,98.04,100,0,0,0.264
186.7,98.1,100,0,0,0.263
188.1,98.14,100,0,0,0.261
189.5,98.18,100,0,0,0.259
190.9,98.21,100,0,0,0.257
192.3,98.25,100,0,0,0.255
193.7,98.26,100,0,0,0.254
195.1,98.3,100,0,0,0.252
196.4,98.32,100,0,0,0.25
197.8,98.35,100,0,0,0.249
199.2,98.4,100,0,0,0.247
200.6,98.41,100,0,0,0.245
202.0,98.43,100,0,0,0.244
203.3,98.46,100,0,0,0.242
204.7,98.49,100,0,0,0.241
206.1,98.52,100,0,0,0.239
207.5,98.55,100,0,0,0.238
208.8,98.56,100,0,0,0.236
210.2,98.58,100,0,0,0.234
211.7,98.62,100,0,0,0.233
213.1,98.67,100,0,0,0.232
214.5,98.69,100,0,0,0.23
215.8,98.71,100,0,0,0.229
217.2,98.76,100,0,0,0.227
218.6,98.77,100,0,0,0.226
220.0,98.81,100,0,0,0.225
221.4,98.83,100,0,0,0.223
222.9,98.83,100,0,0,0.222
224.3,98.84,100,0,0,0.22
225.7,98.85,100,0,0,0.219
227.1,98.86,100,0,0,0.218
228.5,98.9,100,0,0,0.216
229.9,98.92,100,0,0,0.215
231.3,98.94,100,0,0,0.214
232.7,98.94,100,0,0,0.213
234.2,98.99,100,0,0,0.211
235.6,99.01,100,0,0,0.21
237.0,99.01,100,0,0,0.209
238.4,99.01,100,0,0,0.208
239.8,99.02,100,0,0,0.206
241.2,99.04,100,0,0,0.205
242.6,99.06,100,0,0,0.204
244.0,99.07,100,0,0,0.203
245.4,99.09,100,0,0,0.202
246.8,99.1,100,0,0,0.201
248.2,99.1,100,0,0,0.2
249.6,99.12,100,0,0,0.199
251.0,99.14,100,0,0,0.198
252.4,99.16,100,0,0,0.196
253.8,99.17,100,0,0,0.195
