Time,Coverage,Active,Dead,Collisions,Robustness
0.5,1.86,100,0,0,1.0
1.6,9.1,100,0,0,2.894
2.6,11.76,100,0,0,2.273
3.6,14.89,100,0,0,2.066
4.6,18.59,100,0,0,2.008
5.6,22.44,100,0,0,1.989
6.7,26.21,100,0,0,1.97
7.7,29.78,100,0,0,1.941
8.7,33.6,100,0,0,1.937
9.7,36.84,100,0,0,1.901
10.8,40.56,100,0,0,1.881
11.8,43.47,100,0,0,1.844
12.9,46.14,100,0,0,1.791
13.9,48.5,100,0,0,1.745
15.0,51.4,100,0,0,1.714
16.0,54.07,100,0,0,1.689
17.1,56.3,100,0,0,1.647
18.1,58.46,100,0,0,1.615
19.1,59.44,100,0,0,1.555
20.2,59.94,100,0,0,1.483
21.2,60.1,100,0,0,1.417
22.3,60.27,100,0,0,1.351
23.3,60.72,100,0,0,1.302
24.4,62.41,100,0,0,1.279
25.5,63.64,100,0,0,1.247
26.6,64.66,100,0,0,1.215
27.6,65.94,100,0,0,1.194
28.7,67.52,100,0,0,1.176
29.8,68.61,100,0,0,1.151
30.9,69.54,100,0,0,1.125
31.9,70.78,100,0,0,1.109
33.0,71.64,100,0,0,1.085
34.0,72.81,100,0,0,1.071
35.0,74.05,100,0,0,1.058
36.0,75.28,100,0,0,1.045
37.1,76.16,100,0,0,1.026
38.2,77.5,100,0,0,1.014
39.2,78.39,100,0,0,1.0
40.3,79.32,100,0,0,0.984
41.4,80.15,100,0,0,0.968
42.4,81.01,100,0,0,0.955
43.4,81.9,100,0,0,0.943
44.5,82.39,100,0,0,0.926
45.5,83.18,100,0,0,0.914
46.6,83.82,100,0,0,0.899
47.6,84.35,100,0,0,0.886
48.6,85.0,100,0,0,0.874
49.7,85.62,100,0,0,0.861
50.8,86.11,100,0,0,0.847
51.9,86.67,100,0,0,0.835
53.0,87.34,100,0,0,0.824
54.0,87.7,100,0,0,0.812
55.1,88.23,100,0,0,0.801
56.2,88.79,100,0,0,0.79
57.3,89.3,100,0,0,0.779
58.4,89.69,100,0,0,0.768
59.4,90.05,100,0,0,0.758
60.5,90.22,100,0,0,0.746
61.6,90.51,100,0,0,0.735
62.7,90.76,100,0,0,0.724
63.7,90.95,100,0,0,0.714
64.8,91.31,100,0,0,0.705
65.8,91.53,100,0,0,0.696
66.9,91.8,100,0,0,0.686
68.0,91.99,100,0,0,0.676
69.1,92.26,100,0,0,0.667
70.2,92.67,100,0,0,0.66
71.3,92.89,100,0,0,0.651
72.3,93.04,100,0,0,0.643
73.3,93.22,100,0,0,0.635
74.3,93.44,100,0,0,0.628
75.4,93.59,100,0,0,0.62
76.5,93.82,100,0,0,0.614
77.5,94.01,100,0,0,0.606
78.5,94.15,100,0,0,0.599
79.6,94.41,100,0,0,0.593
80.7,94.54,100,0,0,0.586
81.8,94.68,100,0,0,0.579
82.9,95.02,100,0,0,0.573
83.9,95.13,100,0,0,0.567
84.9,95.33,100,0,0,0.562
85.9,95.48,100,0,0,0.556
86.9,95.61,100,0,0,0.55
88.0,95.74,100,0,0,0.544
89.1,95.89,100,0,0,0.538
90.2,95.94,100,0,0,0.532
91.2,96.13,100,0,0,0.527
92.2,96.22,100,0,0,0.522
93.3,96.37,100,0,0,0.517
94.3,96.51,100,0,0,0.512
95.4,96.61,100,0,0,0.506
96.4,96.72,100,0,0,0.502
97.4,96.79,100,0,0,0.497
98.4,96.9,100,0,0,0.492
99.5,96.97,100,0,0,0.487
100.6,97.05,100,0,0,0.482
101.6,97.11,100,0,0,0.478
102.7,97.19,100,0,0,0.473
103.8,97.3,100,0,0,0.469
104.8,97.37,100,0,0,0.464
105.8,97.44,100,0,0,0.46
106.9,97.5,100,0,0,0.456
108.0,97.54,100,0,0,0.452
109.0,97.63,100,0,0,0.448
110.1,97.69,100,0,0,0.444
111.2,97.78,100,0,0,0.44
112.3,97.87,100,0,0,0.436
113.3,97.91,100,0,0,0.432
114.3,97.97,100,0,0,0.428
115.3,98.0,100,0,0,0.425
116.4,98.1,100,0,0,0.421
117.4,98.13,100,0,0,0.418
118.4,98.14,100,0,0,0.414
119.5,98.17,100,0,0,0.411
120.5,98.21,100,0,0,0.407
121.5,98.24,100,0,0,0.404
122.6,98.27,100,0,0,0.401
123.7,98.31,100,0,0,0.397
124.7,98.35,100,0,0,0.394
125.7,98.38,100,0,0,0.391
126.8,98.43,100,0,0,0.388
127.9,98.45,100,0,0,0.385
129.0,98.49,100,0,0,0.382
130.0,98.51,100,0,0,0.379
131.0,98.54,100,0,0,0.376
132.2,98.59,100,0,0,0.373
133.3,98.6,100,0,0,0.37
134.3,98.67,100,0,0,0.367
135.3,98.71,100,0,0,0.365
136.3,98.72,100,0,0,0.362
137.3,98.73,100,0,0,0.36
138.4,98.74,100,0,0,0.357
139.4,98.77,100,0,0,0.354
140.5,98.78,100,0,0,0.352
141.6,98.81,100,0,0,0.349
142.7,98.82,100,0,0,0.346
143.7,98.84,100,0,0,0.344
144.8,98.9,100,0,0,0.342
145.9,98.91,100,0,0,0.339
147.0,98.92,100,0,0,0.337
148.0,98.93,100,0,0,0.334
149.1,98.93,100,0,0,0.332
150.2,98.94,100,0,0,0.329
151.3,98.95,100,0,0,0.327
152.3,98.97,100,0,0,0.325
153.3,99.0,100,0,0,0.323
154.4,99.01,100,0,0,0.321
155.5,99.03,100,0,0,0.318
156.6,99.05,100,0,0,0.316
157.7,99.06,100,0,0,0.314
158.7,99.07,100,0,0,0.312
159.7,99.08,100,0,0,0.31
160.7,99.11,100,0,0,0.308
161.8,99.13,100,0,0,0.306
162.8,99.14,100,0,0,0.304
163.9,99.14,100,0,0,0.302
164.9,99.16,100,0,0,0.301
165.9,99.17,100,0,0,0.299
167.0,99.19,100,0,0,0.297
168.0,99.21,100,0,0,0.295
169.1,99.26,100,0,0,0.293
