section,avg_ms,flynn_class,serial_or_parallel
neighbor_find,4.9474,SIMD,parallel
fork_join_dispatch,2.3649,MIMD,parallel
integration,0.1939,SIMD,parallel
coverage_grid,0.1022,SIMD,parallel
serial_overhead,0.0645,SISD,serial

metric,value
serial_fraction,0.008583
parallel_fraction,0.991417
amdahl_1_cores,1.0000
gustafson_1_cores,1.0000
amdahl_2_cores,1.9830
gustafson_2_cores,1.9914
amdahl_4_cores,3.8996
gustafson_4_cores,3.9743
amdahl_6_cores,5.7531
gustafson_6_cores,5.9571
amdahl_8_cores,7.5466
gustafson_8_cores,7.9399
amdahl_12_cores,10.9647
gustafson_12_cores,11.9056
amdahl_16_cores,14.1750
gustafson_16_cores,15.8713

performance_evaluation,value
avg_robustness_index,0.6983
