Time,Coverage,Active,Dead,Collisions,Robustness
3.8,0.37,100,0,0,0.049
5.1,0.37,100,0,0,0.036
6.3,4.3,100,0,0,0.344
7.3,8.8,100,0,0,0.599
8.4,13.16,100,0,0,0.787
9.4,16.07,100,0,0,0.858
10.5,18.4,100,0,0,0.877
11.6,21.57,100,0,0,0.931
12.8,24.38,100,0,0,0.954
13.9,27.06,100,0,0,0.971
15.1,29.22,100,0,0,0.97
16.2,30.85,100,0,0,0.951
17.4,32.47,100,0,0,0.934
18.5,34.09,100,0,0,0.919
19.7,35.92,100,0,0,0.912
20.9,37.81,100,0,0,0.905
22.1,39.23,100,0,0,0.889
23.3,40.05,100,0,0,0.86
24.7,41.0,100,0,0,0.832
25.9,42.14,100,0,0,0.813
27.3,43.74,100,0,0,0.801
28.6,46.08,100,0,0,0.805
29.8,48.86,100,0,0,0.819
31.0,51.99,100,0,1,0.839
32.0,54.08,100,0,1,0.845
33.1,55.87,100,0,1,0.845
34.1,58.09,100,0,1,0.852
35.3,60.26,100,0,1,0.853
36.3,62.48,100,0,1,0.86
37.6,64.7,100,0,1,0.86
38.9,66.55,100,0,1,0.856
40.2,68.02,100,0,1,0.847
41.4,69.56,100,0,1,0.839
42.6,71.05,100,0,1,0.833
43.9,72.54,100,0,1,0.826
45.1,73.87,100,0,1,0.819
46.3,75.01,100,0,1,0.81
47.5,76.12,100,0,1,0.802
48.6,77.25,100,0,1,0.794
50.1,79.14,100,0,1,0.79
51.7,81.76,100,0,1,0.791
53.2,83.53,100,0,1,0.785
54.9,85.21,100,0,1,0.776
56.7,86.45,100,0,1,0.763
58.3,88.01,100,0,3,0.755
59.8,89.49,100,0,3,0.748
61.4,90.85,100,0,3,0.74
63.0,91.9,100,0,3,0.73
64.6,92.9,100,0,3,0.719
66.3,93.55,100,0,3,0.706
67.9,94.4,100,0,3,0.695
69.5,95.24,100,0,3,0.685
71.1,95.94,100,0,3,0.675
72.6,96.55,100,0,3,0.665
73.6,96.71,100,0,3,0.657
75.4,97.21,100,0,3,0.644
77.0,97.79,100,0,3,0.635
78.8,98.26,100,0,3,0.624
79.8,98.38,100,0,3,0.616
81.0,98.5,100,0,3,0.608
82.9,98.76,100,0,3,0.595
84.8,99.17,100,0,3,0.584
86.5,99.41,100,0,3,0.575
